"Relative Time","Action_Transaction","vuser_end_Transaction","vuser_init_Transaction"
"00:00","","","0"
"00:16","","","0"
"00:32","","","0"
"00:48","4.546","",""
"01:20","8.773","",""
"01:36","5.554","",""
"01:52","3.733","",""
"02:08","3.862","",""
"02:24","3.813","",""
"02:40","3.956","",""
"02:56","3.815","",""
"03:28","7.566","",""
"03:44","3.857","",""
"04:32","8.107","",""
"04:48","3.81","",""
"05:36","3.837","",""
"05:52","3.761","0",""
"06:40","11.428","0",""
"07:44","5.358","0",""
