"Relative Time","Hits"
"00:00","0.25"
"00:16","0.25"
"00:32","0.25"
"00:48","0.75"
"01:04","0.25"
"01:20","1.25"
"01:36","0.75"
"01:52","1"
"02:08","0.5"
"02:24","0.5"
"02:40","1.25"
"02:56","0.75"
"03:12","0"
"03:28","1"
"03:44","1.75"
"04:00","0.25"
"04:16","0"
"04:32","1.5"
"04:48","1.5"
"05:04","0"
"05:20","0"
"05:36","1.125"
"05:52","1.25"
"06:08","0"
"06:24","0"
"06:40","1.375"
"06:56","0"
"07:12","0"
"07:28","0"
"07:44","1.143"
